Interval,CPU_Usage (%),Memory_Usage (MB),CPU_Num,Num_Threads,Open_Files,Context_Switches,Child Processes
1,0.0,6.1953125,[0],33,2,34,0
2,149.1,8.40234375,[22],33,2,1869,0
3,127.4,9.6640625,[29],33,2,4176,0
4,126.6,9.6640625,[29],33,2,6453,0
5,121.6,9.6640625,[30],33,2,8296,0
6,139.4,9.7265625,[29],33,2,10170,0
7,107.8,9.7265625,[29],33,2,11758,0
8,116.7,9.7265625,[30],33,2,13731,0
9,121.7,9.73828125,[8],33,2,15878,0
10,121.7,9.73828125,[8],33,2,18062,0
11,126.5,9.8125,[30],33,2,20215,0
12,122.6,9.828125,[30],33,2,22238,0
13,196.8,10.125,[30],33,2,23619,0
14,87.0,10.125,[30],33,2,25483,0
15,129.6,10.140625,[30],33,2,27482,0
16,272.0,10.140625,[14],33,2,28622,0
17,276.8,10.140625,[14],33,2,29754,0
18,175.8,10.140625,[8],33,2,31089,0
19,124.6,11.02734375,[14],33,2,32657,0
20,154.2,11.02734375,[14],33,2,34451,0
21,208.6,11.03515625,[14],33,2,35691,0
22,218.5,11.03515625,[14],33,2,36920,0
23,186.8,11.09375,[8],33,2,38222,0
24,214.6,11.09375,[8],33,2,39444,0
25,199.8,11.140625,[8],33,2,40848,0
26,166.1,11.140625,[14],33,2,42474,0
27,222.6,12.12109375,[14],33,2,43662,0
