Interval,CPU_Usage (%),Memory_Usage (MB)
1,0.0,1.37109375
2,201.9,10.96875
3,170.9,12.29296875
4,164.9,12.30859375
5,162.9,12.30859375
6,167.9,12.328125
7,159.9,12.328125
8,149.9,12.34765625
9,194.9,13.83984375
10,191.9,15.46875
11,166.9,15.9609375
12,162.9,16.0
13,142.9,16.0
14,136.9,16.0
15,166.9,16.0
16,165.9,15.890625
17,147.9,15.890625
18,155.9,15.890625
19,152.9,15.890625
20,204.9,15.890625
21,182.9,15.890625
22,361.8,15.890625
23,360.8,16.2265625
24,377.8,16.2265625
25,381.8,16.85546875
26,390.8,16.85546875
27,298.8,16.85546875
28,383.8,17.9921875
29,361.8,17.9921875
30,368.8,18.45703125
31,304.8,19.015625
32,283.8,19.01953125
33,335.8,19.03515625
34,228.9,19.23828125
35,182.9,19.23828125
36,179.9,19.23828125
37,132.9,19.23828125
38,139.9,19.23828125
39,156.9,19.23828125
40,149.9,19.23828125
41,147.9,19.23828125
42,153.9,19.23828125
43,148.9,19.23828125
44,153.9,19.23828125
45,142.9,19.23828125
46,143.9,19.23828125
47,156.9,19.52734375
48,145.9,19.52734375
49,149.9,19.55859375
50,142.9,19.55859375
51,156.9,19.55859375
52,173.9,19.55859375
53,262.8,19.97265625
54,153.9,19.98046875
55,157.9,19.98046875
56,377.8,19.98046875
57,291.8,19.98046875
58,341.8,19.98046875
59,342.8,19.98046875
60,340.8,19.98828125
61,262.9,19.98828125
62,280.8,20.15625
63,354.8,20.15625
64,351.8,20.15625
65,372.8,20.7265625
66,308.8,20.7265625
67,109.9,20.7265625
68,125.9,20.7265625
69,125.9,20.7265625
70,130.9,20.7265625
71,132.9,20.7265625
72,128.9,20.7265625
73,137.9,20.7265625
74,142.9,20.7265625
75,141.9,20.7265625
76,152.9,20.7265625
77,123.9,20.7265625
78,123.9,20.7265625
79,124.9,20.7265625
80,150.9,20.7265625
81,138.9,20.7265625
82,131.9,20.7265625
83,126.9,20.7265625
84,137.9,20.7265625
85,140.9,20.7265625
86,137.9,20.7265625
87,102.9,20.7265625
88,120.9,20.7265625
89,96.9,20.7265625
90,234.9,20.7265625
91,335.8,20.7265625
92,345.8,20.859375
93,314.8,21.8125
94,300.8,23.53125
95,315.8,23.53125
96,333.8,23.53125
97,227.9,23.53125
98,305.8,23.53125
99,326.8,23.53125
100,282.8,23.53125
101,192.9,23.53125
102,136.9,23.53125
103,303.8,23.61328125
104,323.8,23.61328125
105,349.8,23.61328125
106,356.8,23.61328125
107,296.8,23.703125
108,364.8,23.703125
109,319.8,23.703125
110,311.8,23.703125
111,246.8,23.703125
112,111.9,23.703125
113,125.9,23.703125
114,125.9,23.703125
115,132.9,23.703125
116,138.9,23.703125
117,130.9,23.703125
118,133.9,23.703125
119,131.9,23.703125
120,141.9,23.703125
121,160.9,24.14453125
122,190.9,24.546875
123,190.9,24.546875
124,98.9,24.546875
125,232.9,24.546875
126,289.8,24.546875
127,298.8,24.546875
128,214.9,24.546875
129,171.9,24.546875
130,258.9,24.546875
131,324.8,24.546875
132,250.8,24.546875
133,297.8,24.546875
134,253.9,24.546875
135,308.8,25.50390625
136,395.7,29.8984375
137,317.8,30.9296875
138,337.8,30.9296875
139,239.9,30.9296875
140,173.9,30.9296875
141,155.9,30.9296875
142,138.9,31.79296875
143,126.9,31.83984375
144,182.9,31.83984375
145,149.0,31.83984375
146,140.9,31.83984375
147,177.9,31.83984375
148,170.9,31.83984375
149,170.9,32.01953125
150,134.9,32.01953125
151,336.8,32.09765625
152,218.9,32.09765625
153,225.9,32.09765625
154,347.8,32.09765625
155,362.8,32.09765625
156,362.8,32.09765625
157,336.8,32.09765625
158,357.8,32.09765625
159,373.8,45.96484375
160,508.7,46.3359375
161,334.8,46.3359375
162,292.8,46.3359375
163,269.9,46.3359375
164,339.8,47.09375
165,359.8,47.140625
